Rank,Company,City,Country,Funding,Industry,Employees,Revenue,Growth %
1,Anthropic,San Franci...,USA,$4.51B,AI,2600,$1B,135%
2,Figure,Silicon Va...,USA,$435M,Robotics,692,$28M,1333%
3,CoreWeave,New York C...,USA,$1.22B,AI,782,$30M,177%
4,Hugging Face,New York C...,USA,$400M,AI,333,$85.2M,42%
5,Shield AI,San Diego,USA,$930M,AI,1644,$328.8M,26%
6,Lendbuzz,Boston,USA,$257M,Fintech,265,$233M,32%
7,Character.AI,Silicon Va...,USA,$193M,AI,100,$14M,217%
8,Writer,San Franci...,USA,$144M,AI,1226,$245.2M,281%
9,Runway ML,New York C...,USA,$237M,AI,608,$108.2M,54%
10,BlueOval SK,Stanton,USA,,Automotive,338,$139.4M,915%
11,LayerZero Labs,Vancouver,CAN,$263M,Fintech,123,$16M,73%
12,Cohere,Toronto,CAN,$435M,AI,607,$33.9M,177%
13,VAST data,New York C...,USA,$341M,Analytics,748,$149.7M,52%
14,Lightmatter,Boston,USA,$422M,Hardware,191,$26.5M,46%
15,Applied Intuiti...,Silicon Va...,USA,$602M,Analytics,527,$93.7M,46%
16,Electric Hydrog...,Natick,USA,$603M,Environmen...,349,$93.1M,63%
17,Island,Dallas,USA,$325M,SaaS,699,$139.8M,51%
18,Typeface,San Franci...,USA,$206M,AI,111,$15.5M,203%
19,Bilt Rewards,New York C...,USA,$413M,Fintech,169,$38.2M,73%
20,Lyten,Silicon Va...,USA,$410M,Environmen...,300,$69.3M,19%
21,Pinecone,Silicon Va...,USA,$138M,AI,177,$26.6M,160%
22,SageSure,New York C...,USA,$250M,Insurance,688,$189.2M,21%
23,Replit,San Franci...,USA,$272M,DevOps,186,$28M,40%
24,Presight.ai,Abu Dhabi,United Arab Emirates,,AI,210,$31.6M,23%
25,Ultium Cells,Warren,USA,$5B,Automotive,942,$435.2M,81%
26,Inworld AI,Silicon Va...,USA,$117M,AI,113,$15.8M,57%
27,BitGo,Silicon Va...,USA,$170M,Fintech,433,$71.5M,106%
28,Imbue,Silicon Va...,USA,$232M,AI,72,$1.6M,76%
29,Quantinuum,Denver,USA,$625M,Fintech,428,$70.7M,1%
30,Pryon,Raleigh Du...,USA,$141M,AI,161,$24.2M,139%
31,KoBold Metals,East Bay,USA,$392M,Mining,213,$31.5M,37%
32,Together AI,San Franci...,USA,$228M,AI,71,$8.6M,224%
33,Temporal Techno...,Seattle,USA,$204M,DevOps,267,$39.5M,24%
34,Adept,San Franci...,USA,$415M,AI,79,$11.1M,88%
35,ElevenLabs,New York C...,USA,$101M,AI,446,$90M,182%
36,SkyWater Techno...,Minneapoli...,USA,,Semiconduc...,491,$168.8M,11%
37,MaintainX,San Franci...,USA,$104M,Tech Servi...,390,$71.8M,117%
38,Glean,Silicon Va...,USA,$360M,HRTech,567,$39M,100%
39,Synthesia,London,UK,$157M,AI,447,$79.6M,33%
40,Wormhole,George Tow...,Cayman Islands,$225M,Fintech,50,$12.3M,150%
41,Intenseye,New York C...,USA,$94.4M,Analytics,124,$17.4M,28%
42,Zip,San Franci...,USA,$181M,Fintech,3780,$1.7B,26%
43,Unlearn.AI,San Franci...,USA,$135M,AI,92,$12.9M,24%
