Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date
Astrogate Labs,astrogatelabs.com,Aerospace,India,"$1,300,000",Seed,Mar 2025
Sisir Radar,www.sisirradar.com,Aerospace,India,"$1,425,290",Seed,Mar 2025
Logiclens Solutions,www.logiclens.co.in,Artificial Intelligence,India,,Seed,Mar 2025
TechMonk,techmonk.io,Artificial Intelligence,India,"$200,000",Seed,Mar 2025
Geniemode,www.geniemode.com,"E-commerce, Logistics",India,"$50,000,000",Series C,Mar 2025
HiWi,hiwipay.com,"Education, Finance",India,"$860,166",Seed,Mar 2025
Bike Bazaar,www.wheelsemi.com,Electronics,India,,Venture - Series Unknown,Mar 2025
Vidyut,www.vidyuttech.com,"Energy, EV",India,"$2,293,777",Venture - Series Unknown,Mar 2025
Dodo Payments,dodopayments.com,"FinTech, Finance",India,"$1,100,000",Pre-Seed,Mar 2025
Mumbai Oncocare Center,www.mocindia.co.in,Healthcare,India,"$18,000,000",Series B,Mar 2025
Pickkup.io,www.pickkup.io,Logistics,India,"$500,000",Seed,Mar 2025
Make In The Box,www.makeinthebox.com,"Manufacturing, 3D",India,"$260,000",Seed,Mar 2025
1312 Interactive,1312interactive.com,"Marketing, Gaming",India,,Pre-Seed,Mar 2025
Earthful,earthful.me,Nutrition and Supplements,India,"$573,496",Seed,Mar 2025
Quick Clean Pvt. Ltd.,www.quickclean.co.in,Professional Services,India,"$5,744,118",Series A,Mar 2025
Jobizo,jobizo.com,Recruiting,India,"$1,400,000",Seed,Mar 2025
Kirana Pro,www.kirana.pro,"Retail, E-commerce",India,,Seed,Mar 2025
TakeMe2Space,www.tm2.space,Aerospace,India,"$629,531",Pre-Seed,Mar 2025
Unnati,unnati.ag,"Agriculture, FinTech, Finance",India,,Series B,Mar 2025
Northtstarz.ai,northstarz.ai,Artificial Intelligence,India,"$250,000",Pre-Seed,Mar 2025
StepOut,www.stepout.ai,Artificial Intelligence,India,"$500,000",Seed,Mar 2025
Phot.ai,www.phot.ai,"Artificial Intelligence, Cloud Computing",India,"$2,700,000",Seed,Mar 2025
Beautywise,beautywise.in,"Beauty, E-commerce, Retail",India,"$343,534",Seed,Mar 2025
Deciml,deciml.in,Cloud Computing,India,"$3,000,000",Seed,Mar 2025
Nuuk,nuuk.in,Cloud Computing,India,"$4,578,404",Series A,Mar 2025
